UNDERLYING,SYMBOL,FEB-19,MAR-19,APR-19
AUROBINDO PHARMA LTD                ,AUROPHARMA,1000,1000,1000
BATA INDIA LTD                      ,BATAINDIA ,550,550,550
BIOCON LIMITED.                     ,BIOCON    ,900,900,900
ADANI PORT & SEZ LTD                ,ADANIPORTS,2500,2500,2500
ACC LIMITED                         ,ACC       ,400,400,400
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,4000,4000,4000
AJANTA PHARMA LIMITED               ,AJANTPHARM,500,500,500
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1800,1800,1800
ALLAHABAD BANK                      ,ALBK      ,13000,13000,13000
CANARA BANK                         ,CANBK     ,2000,2000,2000
CAN FIN HOMES LTD                   ,CANFINHOME,1800,1800,1800
AMARA RAJA BATTERIES LTD.           ,AMARAJABAT,700,700,700
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,500,500,500
APOLLO TYRES LTD                    ,APOLLOTYRE,3000,3000,3000
ASIAN PAINTS LIMITED                ,ASIANPAINT,600,600,600
BHEL                                ,BHEL      ,7500,7500,7500
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,250,250,250
BAJAJ FINANCE LIMITED               ,BAJFINANCE,250,250,250
BALKRISHNA IND. LTD                 ,BALKRISIND,800,800,800
BHARAT ELECTRONICS LTD              ,BEL       ,6000,6000,6000
BHARAT FIN INCLUSION LTD            ,BHARATFIN ,500,500,500
BHARAT FORGE LTD                    ,BHARATFORG,1200,1200,1200
BHARTI AIRTEL LIMITED               ,BHARTIARTL,1700,1700,1700
CG POWER AND IND SOL LTD            ,CGPOWER   ,12000,12000,12000
CONTAINER CORP OF IND LTD           ,CONCOR    ,1563,1563,1563
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,200,200,200
CADILA HEALTHCARE LIMITED           ,CADILAHC  ,1600,1600,1600
CASTROL INDIA LIMITED               ,CASTROLIND,3400,3400,3400
CENTURY TEXTILES LTD                ,CENTURYTEX,600,600,600
CUMMINS INDIA LTD                   ,CUMMINSIND,700,700,700
CHENNAI PETROLEUM CORP LT           ,CHENNPETRO,1800,1800,1800
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN  ,500,500,500
CIPLA LTD                           ,CIPLA     ,1000,1000,1000
COLGATE PALMOLIVE LTD.              ,COLPAL    ,700,700,700
DEWAN HOUSING FIN CORP LT           ,DHFL      ,1500,1500,1500
DISH TV INDIA LTD.                  ,DISHTV    ,8000,8000,8000
DIVI'S LABORATORIES LTD             ,DIVISLAB  ,400,400,400
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,1000,1000,1000
DR. REDDY'S LABORATORIES            ,DRREDDY   ,250,250,250
EQUITAS HOLDINGS LIMITED            ,EQUITAS   ,4000,4000,4000
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,2000,2000,2000
GODFREY PHILLIPS INDIA LT           ,GODFRYPHLP,700,700,700
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,600,600,600
GODREJ INDUSTRIES LTD               ,GODREJIND ,1500,1500,1500
HAVELLS INDIA LIMITED               ,HAVELLS   ,1000,1000,1000
HCL TECHNOLOGIES LTD                ,HCLTECH   ,700,700,700
HDFC LTD                            ,HDFC      ,500,500,500
HDFC BANK LTD                       ,HDFCBANK  ,250,250,250
HERO MOTOCORP LIMITED               ,HEROMOTOCO,200,200,200
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2100,2100,2100
INDIABULLS HSG FIN LTD              ,IBULHSGFIN,500,500,500
ICICI BANK LTD.                     ,ICICIBANK ,2750,2750,2750
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,1500,1500,1500
VODAFONE IDEA LIMITED               ,IDEA      ,12000,12000,12000
INDRAPRASTHA GAS LTD                ,IGL       ,2750,2750,2750
THE INDIA CEMENTS LIMITED           ,INDIACEM  ,4500,4500,4500
INDIAN BANK                         ,INDIANB   ,2000,2000,2000
INDUSIND BANK LIMITED               ,INDUSINDBK,300,300,300
BHARTI INFRATEL LTD.                ,INFRATEL  ,2000,2000,2000
INFOSYS LIMITED                     ,INFY      ,1200,1200,1200
ITC LTD                             ,ITC       ,2400,2400,2400
JAIN IRRIGATION SYSTEMS             ,JISLJALEQS,9000,9000,9000
JSW STEEL LIMITED                   ,JSWSTEEL  ,1500,1500,1500
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,500,500,500
INTERGLOBE AVIATION LTD             ,INDIGO    ,600,600,600
HEXAWARE TECHNOLOGIES LTD           ,HEXAWARE  ,1500,1500,1500
